MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 500000
0 Meta TrkEnd
TrkEnd
MTrk
2999 On ch=1 n=72 v=0
3011 On ch=1 n=82 v=0
3024 On ch=1 n=80 v=80
3024 On ch=1 n=72 v=80
3024 On ch=1 n=68 v=80
3024 On ch=1 n=66 v=80
3048 On ch=1 n=80 v=0
3060 On ch=1 n=87 v=80
3071 On ch=1 n=72 v=0
3071 On ch=1 n=68 v=0
3071 On ch=1 n=66 v=0
3096 On ch=1 n=72 v=80
3096 On ch=1 n=68 v=80
3096 On ch=1 n=66 v=80
3108 On ch=1 n=87 v=0
3131 On ch=1 n=85 v=80
3144 On ch=1 n=72 v=0
3144 On ch=1 n=68 v=0
3144 On ch=1 n=66 v=0
3168 On ch=1 n=73 v=80
3168 On ch=1 n=68 v=80
3168 On ch=1 n=65 v=80
3179 On ch=1 n=85 v=0
3204 On ch=1 n=82 v=80
3215 On ch=1 n=73 v=0
3215 On ch=1 n=68 v=0
3215 On ch=1 n=65 v=0
3228 On ch=1 n=82 v=0
3240 On ch=1 n=94 v=80
3240 On ch=1 n=73 v=80
3240 On ch=1 n=68 v=80
3240 On ch=1 n=64 v=80
3264 On ch=1 n=94 v=0
3276 On ch=1 n=92 v=80
3288 On ch=1 n=73 v=0
3288 On ch=1 n=68 v=0
3288 On ch=1 n=64 v=0
3300 On ch=1 n=92 v=0
3311 On ch=1 n=80 v=80
3311 On ch=1 n=72 v=80
3311 On ch=1 n=68 v=80
3311 On ch=1 n=63 v=80
3335 On ch=1 n=80 v=0
3348 On ch=1 n=84 v=80
3359 On ch=1 n=72 v=0
3359 On ch=1 n=68 v=0
3359 On ch=1 n=63 v=0
3384 On ch=1 n=72 v=80
3384 On ch=1 n=68 v=80
3384 On ch=1 n=63 v=80
3395 On ch=1 n=84 v=0
3420 On ch=1 n=89 v=80
3431 On ch=1 n=72 v=0
3431 On ch=1 n=68 v=0
3431 On ch=1 n=63 v=0
3444 On ch=1 n=89 v=0
3455 On ch=1 n=87 v=80
3455 On ch=1 n=73 v=80
3455 On ch=1 n=67 v=80
3455 On ch=1 n=63 v=80
3479 On ch=1 n=87 v=0
3491 On ch=1 n=82 v=80
3503 On ch=1 n=73 v=0
3503 On ch=1 n=67 v=0
3503 On ch=1 n=63 v=0
3515 On ch=1 n=82 v=0
3528 On ch=1 n=83 v=80
3528 On ch=1 n=63 v=80
3528 On ch=1 n=67 v=80
3528 On ch=1 n=73 v=80
3551 On ch=1 n=83 v=0
3564 On ch=1 n=84 v=80
3575 On ch=1 n=63 v=0
3575 On ch=1 n=67 v=0
3575 On ch=1 n=73 v=0
3600 On ch=1 n=72 v=80
3600 On ch=1 n=68 v=80
3600 On ch=1 n=63 v=80
3611 On ch=1 n=84 v=0
3635 On ch=1 n=74 v=80
3648 On ch=1 n=72 v=0
3648 On ch=1 n=68 v=0
3648 On ch=1 n=63 v=0
3659 On ch=1 n=74 v=0
3671 On ch=1 n=75 v=80
3671 On ch=1 n=63 v=80
3671 On ch=1 n=68 v=80
3671 On ch=1 n=72 v=80
3695 On ch=1 n=75 v=0
3708 On ch=1 n=77 v=80
3708 On ch=1 n=65 v=80
3719 On ch=1 n=63 v=0
3719 On ch=1 n=68 v=0
3719 On ch=1 n=72 v=0
3804 On ch=1 n=77 v=0
